지역,변수,Pearson(이용률-변수),Spearman(이용률-변수),표본수(개월)
전체,월합계일조(hr),0.34622132536542494,0.1946438684704822,96
전체,월합계일사(MJ/m²),0.6478034571114701,0.6643311430060197,96
전체,평균 습도(%),-0.021861932949375874,0.020835594139989148,96
전체,평균 기온(°C),0.3284121584617989,0.33785946825827456,96
전체,월합계강수량(mm),0.024154825994663072,0.11711283988901958,96
전체,평균 운량(1/10),0.05249325073503797,0.10980737927292458,96
서울,월합계일조(hr),0.6694656323107637,0.5848892748588798,48
서울,월합계일사(MJ/m²),0.9528689060979909,0.9347590099869735,48
서울,평균 습도(%),-0.22476662258137495,-0.20158488927485887,48
서울,평균 기온(°C),0.5030258732644391,0.47177594442032134,48
서울,월합계강수량(mm),-0.011072178633452166,0.19013759607512404,48
서울,평균 운량(1/10),0.09333162976866623,0.2066869300911854,48
울산,월합계일조(hr),0.673948024997568,0.5263386437740445,48
울산,월합계일사(MJ/m²),0.2682685066592935,0.26706232014050285,48
울산,평균 습도(%),0.11203720504141768,0.15762049500651323,48
울산,평균 기온(°C),0.45238352738492144,0.4600521059487625,48
울산,월합계강수량(mm),-0.03472402654215342,0.11550151975683891,48
울산,평균 운량(1/10),0.08025802279217792,0.13059053408597482,48
