"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241229","전라남도","신안군","6.4","10.3","3.5","6.9","4.1","6.3","2.0","0.0","0.0","0.8","3.5","4.4","3.2","6.89","8.52","0.0","56.0","74.3","68.3","6.1","5.9","6.2","0.0","0.0","0.0","13.6","10.1","6.9"
"20241229","전라남도","해남군","3.4","9.3","-1.3","1.8","1.6","6.9","-3.5","0.0","0.0","0.9","8.7","7.2","5.2","0.0","0.0","0.0","75.8","85.0","70.1","3.8","2.1","0.0","0.0","0.0","0.0","8.6","7.5","2.2"
"20241229","전라남도","고흥군","2.5","9.8","-3.6","3.0","1.8","7.6","-3.4","0.0","0.0","0.6","7.8","7.7","5.6","11.44","0.0","0.0","68.4","78.0","62.8","2.5","2.5","0.0","0.0","0.0","0.0","9.1","5.6","2.0"
"20241229","전라남도","완도군","5.2","10.2","1.8","5.0","3.2","7.1","-0.1","0.0","0.0","0.8","8.1","7.1","5.0","11.81","0.0","0.0","61.8","66.9","64.7","4.0","2.4","0.0","0.0","0.0","0.0","11.1","5.9","4.0"
"20241229","전라남도","여수시","4.2","9.4","0.4","4.8","3.3","7.2","0.0","0.0","0.0","0.6","9.0","8.1","6.7","11.91","11.36","0.0","56.5","62.8","51.7","3.0","1.3","2.8","0.0","0.0","0.0","10.7","7.7","4.8"
"20241228","전라남도","영광군","-0.8","1.7","-2.5","0.8","-0.3","4.2","-4.4","6.4","0.0","1.4","1.7","5.9","4.5","5.21","8.1","0.0","83.9","89.0","70.8","7.9","2.4","0.0","0.0","0.0","0.0","11.6","5.4","2.5"
"20241228","전라남도","강진군","1.8","4.0","0.5","4.3","1.1","6.1","-3.1","0.8","0.0","1.4","4.7","2.6","5.3","8.56","7.3","0.0","79.0","77.9","66.4","7.3","3.3","0.0","0.0","0.0","0.0","11.7","8.0","2.7"
"20241228","전라남도","장흥군","1.5","3.6","-0.4","4.0","1.4","7.2","-3.6","0.2","0.0","0.9","4.3","4.0","5.3","0.0","0.0","0.0","72.5","74.5","66.0","6.5","2.8","0.0","0.0","0.0","0.0","11.2","6.9","2.4"
"20241228","전라남도","목포시","1.0","3.7","-0.4","4.0","2.5","6.6","-0.8","3.3","0.0","1.0","1.8","5.0","4.6","6.05","8.42","0.0","91.1","84.0","68.4","8.1","3.0","5.2","2.8","0.0","0.0","19.0","7.8","4.2"
"20241228","전라남도","신안군","2.7","4.7","-0.2","7.2","4.2","6.3","2.3","2.9","0.0","0.7","1.5","4.5","3.2","5.11","8.83","0.0","71.8","78.9","68.0","8.1","6.9","6.2","1.5","0.0","0.0","19.8","11.4","6.9"
"20241228","전라남도","해남군","1.9","5.3","0.1","4.1","1.7","7.0","-3.2","1.6","0.0","0.9","4.5","4.2","5.2","0.0","0.0","0.0","83.3","79.6","69.2","8.1","3.6","0.0","0.0","0.0","0.0","13.0","6.9","2.2"
"20241228","전라남도","고흥군","1.7","4.8","0.2","5.1","2.0","7.7","-3.1","0.0","0.0","0.7","5.0","5.4","5.5","9.47","0.0","0.0","66.6","75.0","62.1","5.4","1.6","0.0","0.0","0.0","0.0","12.3","8.3","2.0"
"20241228","전라남도","완도군","2.1","4.4","0.4","6.0","3.4","7.2","0.1","0.9","0.0","0.9","2.6","3.3","5.0","5.96","0.0","0.0","75.3","74.1","63.6","7.4","3.8","0.0","0.0","0.0","0.0","15.6","7.4","4.0"
"20241228","전라남도","여수시","1.2","3.8","-0.2","6.6","3.5","7.3","0.3","0.0","0.0","0.7","6.3","7.4","6.6","10.85","10.44","0.0","63.6","62.5","51.7","5.6","1.6","2.8","0.0","0.0","0.0","18.7","15.6","4.8"
"20241227","전라남도","영광군","1.4","4.0","-1.5","2.4","-0.2","4.3","-4.5","0.3","0.0","1.1","1.6","6.9","4.5","6.03","9.81","0.0","68.6","86.4","69.6","8.5","4.0","0.0","0.0","0.0","0.0","12.8","3.8","2.4"
"20241227","전라남도","강진군","3.7","6.2","2.2","4.3","1.2","6.2","-3.2","0.0","0.0","1.1","4.9","8.0","5.3","8.91","10.67","0.0","62.6","81.4","65.4","6.3","4.1","0.0","0.0","0.0","0.0","13.1","5.6","2.7"
"20241227","전라남도","장흥군","3.4","5.9","0.5","4.1","1.6","7.3","-3.5","0.0","0.0","0.9","6.5","8.5","5.4","0.0","0.0","0.0","59.0","80.5","66.1","6.8","3.9","0.0","0.0","0.0","0.0","10.6","4.4","2.4"
"20241227","전라남도","목포시","3.2","4.8","1.6","5.1","2.6","6.8","-0.6","0.0","0.0","0.9","6.5","7.8","4.7","10.66","10.33","0.0","65.9","77.9","68.9","4.9","5.3","5.2","0.0","0.0","0.0","15.8","6.3","4.4"
"20241227","전라남도","신안군","4.9","7.1","3.2","7.6","4.4","6.5","2.5","0.0","0.0","0.7","4.4","3.2","3.3","8.72","7.16","0.0","57.6","78.8","67.5","7.4","7.6","6.2","0.0","0.0","0.0","19.3","7.1","7.1"
"20241227","전라남도","해남군","3.9","6.1","1.9","4.3","1.9","7.1","-3.1","0.0","0.0","0.9","7.0","8.4","5.2","0.0","0.0","0.0","62.6","82.6","69.4","4.6","4.0","0.0","0.0","0.0","0.0","13.7","5.5","2.3"
"20241227","전라남도","고흥군","3.5","6.5","0.3","5.0","2.2","7.9","-2.8","0.0","0.0","0.8","7.0","7.9","5.6","11.04","0.0","0.0","57.3","76.6","62.6","4.4","6.0","0.0","0.0","0.0","0.0","12.5","4.0","2.0"
"20241227","전라남도","완도군","4.7","7.5","2.7","6.1","3.6","7.4","0.2","0.0","0.0","1.0","5.4","7.8","5.0","9.33","0.0","0.0","56.6","74.8","63.9","5.5","5.4","0.0","0.0","0.0","0.0","16.1","2.5","4.1"
"20241227","전라남도","여수시","2.6","5.4","0.5","6.4","3.7","7.5","0.6","0.0","0.0","0.8","8.3","8.7","6.7","11.18","11.55","0.0","52.8","62.0","52.2","2.9","5.4","2.8","0.0","0.0","0.0","18.6","8.0","4.9"
"20241226","전라남도","영광군","4.3","7.6","1.6","2.1","-0.1","4.6","-4.1","0.4","0.0","1.2","2.1","2.1","5.1","5.96","7.84","0.0","60.4","82.0","69.0","7.5","8.9","0.0","0.0","0.0","0.0","11.1","2.5","2.4"
"20241226","전라남도","강진군","5.0","8.9","-1.0","1.8","1.4","6.4","-2.8","0.0","0.0","1.1","6.4","6.4","5.6","9.92","9.71","0.0","62.9","82.3","64.3","5.9","4.6","0.0","0.0","0.0","0.0","12.2","8.2","2.8"
"20241226","전라남도","장흥군","4.4","8.5","-2.9","1.0","1.8","7.7","-3.3","0.0","0.0","0.9","6.5","7.4","5.4","0.0","0.0","0.0","62.5","83.4","66.4","5.6","5.8","0.0","0.0","0.0","0.0","13.4","7.5","2.4"
"20241226","전라남도","목포시","4.8","7.4","2.8","3.7","2.9","7.1","-0.3","0.0","0.0","1.0","3.8","4.3","4.9","7.65","8.99","0.0","64.9","75.8","69.4","6.4","6.1","5.1","0.0","0.0","0.0","15.7","5.1","4.4"
"20241226","전라남도","신안군","5.9","9.1","3.5","7.4","4.6","6.6","2.8","0.0","0.0","0.7","3.6","4.6","3.6","7.65","8.47","0.0","61.3","65.3","67.4","7.0","8.3","6.0","0.0","0.0","0.0","19.9","5.9","7.0"
"20241226","전라남도","해남군","4.6","8.7","-1.9","2.8","2.1","7.5","-2.9","0.0","0.0","0.9","5.6","6.0","5.4","0.0","0.0","0.0","65.5","82.5","69.5","6.4","5.4","0.0","0.0","0.0","0.0","15.7","6.6","2.2"
"20241226","전라남도","고흥군","4.9","9.8","-1.7","3.0","2.5","8.1","-2.7","0.0","0.0","0.9","7.4","7.1","5.7","10.01","0.0","0.0","62.0","77.6","62.9","4.1","5.4","0.0","0.0","0.0","0.0","14.0","8.5","2.0"
"20241226","전라남도","완도군","5.5","9.2","3.1","-99.0","3.8","7.7","0.4","0.0","0.0","1.0","4.8","2.4","5.1","7.09","0.0","0.0","61.4","0.0","64.3","5.5","5.1","0.0","0.0","0.0","0.0","11.9","6.7","3.9"
"20241226","전라남도","여수시","4.9","8.6","1.3","4.7","3.9","7.8","0.8","0.0","0.0","0.9","8.4","7.8","6.7","10.4","11.28","0.0","55.3","60.3","53.0","2.3","3.4","3.0","0.0","0.0","0.0","20.2","11.2","4.8"
"20241225","전라남도","영광군","2.7","8.3","-1.7","1.2","0.6","5.1","-3.4","0.0","0.1","1.2","2.4","1.0","4.9","6.11","6.03","0.0","77.4","72.9","69.1","7.9","7.6","0.0","0.0","0.0","0.0","4.6","7.2","2.6"
"20241225","전라남도","강진군","2.0","9.2","-4.0","0.7","2.0","6.9","-2.3","0.0","0.0","1.0","2.5","3.1","5.5","7.1","6.9","0.0","82.1","79.9","65.5","5.3","5.5","0.0","0.0","0.0","0.0","7.1","9.8","2.9"
"20241225","전라남도","장흥군","1.2","8.7","-5.5","-0.2","2.1","8.0","-3.0","0.0","0.0","0.9","3.1","5.1","5.4","0.0","0.0","0.0","80.9","81.4","67.2","4.8","3.4","0.0","0.0","0.0","0.0","6.4","8.0","2.4"
"20241225","전라남도","목포시","4.1","8.7","-0.2","2.7","3.4","7.5","0.1","0.0","0.0","1.0","3.9","2.5","4.9","8.0","7.68","0.0","76.3","64.0","69.9","5.8","7.5","5.1","0.0","3.0","0.0","5.7","12.0","4.3"
"20241225","전라남도","신안군","7.2","10.4","4.2","4.0","4.9","7.0","3.1","0.0","0.0","0.6","2.4","4.1","3.8","6.44","8.3","0.0","66.0","58.4","67.6","8.5","7.9","6.0","0.0","0.0","0.0","6.9","14.0","7.0"
"20241225","전라남도","해남군","1.8","9.1","-5.4","1.9","2.5","7.9","-2.6","0.0","0.0","0.9","2.2","5.2","5.3","0.0","0.0","0.0","83.4","74.6","70.0","4.9","6.9","0.0","0.0","0.0","0.0","6.7","10.2","2.1"
"20241225","전라남도","고흥군","1.6","9.7","-4.9","1.1","2.8","8.4","-2.2","0.0","0.0","0.7","3.9","4.9","5.8","8.0","0.0","0.0","79.0","74.9","63.5","5.3","4.1","0.0","0.0","0.0","0.0","9.4","10.4","2.0"
