연도,구분,누적 설비용량(MW),월,발전량,일수,이용률,지역,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),평균 강수량(mm),평균 운량(1/10),flag_abnormal_sunshine,flag_invalid_solar,flag_impute,월합계일조(hr)_month_mean,월합계일사(MJ/m²)_month_mean
2021,서울,44.0,6,4988.7,30,15.74715909090909,서울,286.0,465.0,72.49666667,22.81666667,3.486666667,5.603333333,False,False,False,295.0,394.0
2021,울산,113.0,6,8291.0,30,10.190511307767945,울산,284.0,491.0,80.14,21.66333333,3.126666667,6.533333333,False,False,False,321.0,392.5
2022,서울,48.0,6,4398.08,30,12.725925925925926,서울,270.0,534.0,73.37666667,23.30333333,13.12666667,6.913333333,False,False,False,295.0,394.0
2022,울산,125.0,6,9350.6,30,10.389555555555557,울산,249.0,335.0,77.48666667,22.42333333,4.903333333,5.77,False,False,False,321.0,392.5
2023,서울,50.0,6,5669.51,30,15.748638888888888,서울,307.0,351.0,72.43333333,23.38333333,6.52,5.696666667,False,False,False,295.0,394.0
2023,울산,148.0,6,11541.2,30,10.830705705705707,울산,352.0,373.0,74.21333333,22.28333333,4.713333333,6.263333333,False,False,False,321.0,392.5
2024,서울,50.0,6,6722.21,30,18.672805555555556,서울,317.0,226.0,60.49666667,24.59333333,3.863333333,4.206666667,False,False,False,295.0,394.0
2024,울산,178.0,6,15158.35,30,11.82767634207241,울산,399.0,371.0,70.57,22.58666667,4.153333333,6.136666667,False,False,False,321.0,392.5
2021,서울,44.0,7,5118.98,31,15.637157869012707,서울,253.33333333333334,536.0,70.90967742,28.11935484,5.429032258,5.861290323,True,False,True,253.33333333333334,536.0
2021,울산,113.0,7,8204.16,31,9.758492720525263,울산,380.0,413.0,85.2483871,25.9483871,6.106451613,6.638709677,False,False,False,279.5,490.75
2022,서울,48.0,7,4794.04,31,13.424171146953404,서울,362.0,542.0,77.23225806,27.32903226,8.138709677,6.893548387,False,False,False,253.33333333333334,536.0
2022,울산,125.0,7,8937.5,31,9.61021505376344,울산,199.0,477.0,82.98064516,25.97419355,4.032258065,6.503225806,False,False,False,279.5,490.75
2023,서울,50.0,7,4635.28,31,12.46043010752688,서울,206.0,464.0,81.07419355,26.70645161,14.83548387,6.729032258,False,False,False,253.33333333333334,536.0
2023,울산,148.0,7,10128.0,31,9.19790758500436,울산,264.0,491.0,80.26451613,25.79677419,8.609677419,6.587096774,False,False,False,279.5,490.75
2024,서울,50.0,7,4180.46,31,11.237795698924732,서울,192.0,602.0,80.99354839,26.59677419,17.97741935,7.922580645,False,False,False,253.33333333333334,536.0
2024,울산,178.0,7,13884.16,31,10.483991784462969,울산,275.0,582.0,77.4516129,26.92903226,6.748387097,6.290322581,False,False,False,279.5,490.75
2021,서울,44.0,8,4072.12,31,12.439271749755621,서울,275.3333333333333,558.0,74.22580645,25.85806452,6.812903226,6.951612903,True,False,True,275.3333333333333,558.0
2021,울산,113.0,8,6654.68,31,7.915453420877344,울산,207.0,739.0,86.68064516,25.31290323,14.31935484,6.95483871,False,False,False,214.0,527.0
2022,서울,48.0,8,4029.27,31,11.28267809139785,서울,193.0,715.0,80.17096774,25.74193548,18.21935484,7.283870968,False,False,False,275.3333333333333,558.0
2022,울산,125.0,8,8464.37,31,9.101473118279571,울산,306.0,692.0,78.68387097,26.35806452,4.467741935,6.841935484,False,False,False,214.0,527.0
2023,서울,50.0,8,4702.84,31,12.642043010752687,서울,291.0,641.0,76.3516129,27.18709677,9.616129032,6.467741935,False,False,False,275.3333333333333,558.0
2023,울산,148.0,8,10403.66,31,9.448252688172044,울산,180.0,435.0,79.70967742,26.52258065,13.00967742,5.783870968,False,False,False,214.0,527.0
2024,서울,50.0,8,5454.31,31,14.66212365591398,서울,342.0,318.0,72.56774194,29.33225806,2.348387097,4.925806452,False,False,False,275.3333333333333,558.0
2024,울산,178.0,8,16803.28,31,12.68823245137127,울산,163.0,242.0,75.77741935,27.96129032,2.874193548,4.051612903,False,False,False,214.0,527.0
