지역,연도,월,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),평균 강수량(mm),평균 운량(1/10),flag_abnormal_sunshine,flag_invalid_solar,flag_impute
울산,2022,9,247.0,698.0,78.93,21.65333333,9.493333333,6.783333333,False,False,False
울산,2022,10,87.0,423.0,66.89677419,16.02258065,0.980645161,4.832258065,False,False,False
울산,2022,11,199.0,223.0,58.32666667,12.72666667,1.496666667,3.456666667,False,False,False
울산,2022,12,215.0,225.0,43.90967742,2.022580645,0.312903226,3.016129032,False,False,False
울산,2023,1,144.0,153.0,45.16451613,2.596774194,1.332258065,2.651612903,False,False,False
울산,2023,2,201.0,273.0,53.18214286,5.2,1.0,4.675,False,False,False
울산,2023,3,206.0,247.0,53.6516129,11.43225806,2.203225806,4.129032258,False,False,False
울산,2023,4,154.0,335.0,59.91333333,14.09,1.923333333,4.183333333,False,False,False
울산,2023,5,230.0,606.0,69.18387097,17.76774194,6.296774194,5.95483871,False,False,False
울산,2023,6,352.0,373.0,74.21333333,22.28333333,4.713333333,6.263333333,False,False,False
울산,2023,7,264.0,491.0,80.26451613,25.79677419,8.609677419,6.587096774,False,False,False
울산,2023,8,180.0,435.0,79.70967742,26.52258065,13.00967742,5.783870968,False,False,False
울산,2023,9,146.0,574.0,80.41,22.90333333,9.223333333,6.593333333,False,False,False
울산,2023,10,220.0,290.0,61.91935484,16.37741935,0.138709677,3.522580645,False,False,False
울산,2023,11,139.0,331.0,52.53,10.39333333,1.103333333,2.623333333,False,False,False
울산,2023,12,138.0,330.0,55.41612903,4.864516129,4.087096774,3.580645161,False,False,False
울산,2024,1,49.0,377.0,52.55483871,0.003225806,1.364516129,3.109677419,False,False,False
울산,2024,2,47.0,600.0,71.04482759,5.979310345,3.634482759,6.275862069,False,False,False
울산,2024,3,160.0,386.0,56.02903226,8.558064516,2.587096774,4.364516129,False,False,False
울산,2024,4,280.0,369.0,67.37241379,11.08275862,3.417241379,5.586206897,False,False,False
울산,2024,5,244.0,314.0,63.95806452,17.88064516,2.235483871,4.216129032,False,False,False
울산,2024,6,399.0,371.0,70.57,22.58666667,4.153333333,6.136666667,False,False,False
울산,2024,7,275.0,582.0,77.4516129,26.92903226,6.748387097,6.290322581,False,False,False
울산,2024,8,163.0,242.0,75.77741935,27.96129032,2.874193548,4.051612903,False,False,False
울산,2024,9,187.0,543.0,79.76333333,24.67333333,7.9,5.76,False,False,False
울산,2024,10,188.0,619.0,75.92580645,17.78064516,5.622580645,6.516129032,False,False,False
울산,2024,11,142.0,337.0,65.29666667,11.75333333,2.25,4.3,False,False,False
울산,2024,12,220.0,61.0,44.56451613,4.05483871,0.0,2.567741935,False,False,False
