지역,월,이용률,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),평균 운량(1/10),평균 강수량(mm),n_years
서울,1,9.812913408276312,178.25,155.75,60.046774195,-2.46612903225,3.56693548375,0.73548387075,4
서울,2,12.569166157417774,231.0,190.25,60.495997535,1.9319581279999998,4.136976601000001,0.75825123175,4
서울,3,14.523273485866731,302.25,282.0,58.303225805,8.355645161250001,4.32500000025,2.047580645,4
서울,4,16.394557423190236,264.5,361.0,56.324367815,14.765948275000001,4.80525862075,2.29787356325,4
서울,5,17.543001792114694,267.75,406.25,62.30483871,18.5516129075,4.7693548385,3.8008064517499998,4
서울,6,15.723632365319865,295.0,394.0,69.700833335,23.524166665,5.605,6.7491666675,4
서울,7,13.189888705604432,253.33333333333334,536.0,77.552419355,27.187903225,6.85161290325,11.595161288749999,4
서울,8,12.756529126955034,275.3333333333333,558.0,75.8290322575,27.029838707499998,6.4072580645,9.24919354875,4
서울,9,13.765642203282827,315.3333333333333,556.3333333333334,71.0649999975,23.524166665000003,5.4825,5.0908333335,4
서울,10,12.59765915200391,281.5,390.75,68.6814516125,15.646774194999999,4.3362903225,2.30725806425,4
서울,11,10.423669270833333,196.5,279.5,64.77916666750001,8.6708333335,3.92916666675,2.40666666675,4
서울,12,9.188827666788857,166.5,168.5,61.501612905,-0.06693548374999997,3.47661290325,0.9120967742499999,4
울산,1,7.146989456906155,146.5,225.75,47.22983871,1.8177419355,3.14516129025,0.84758064525,4
울산,2,8.002428836958595,155.5,332.0,52.6504926125,5.09214901475,4.346644088750001,1.43540640425,4
울산,3,9.417414911313275,243.25,313.0,59.3419354825,10.088709677,4.7838709675,2.7653225805,4
울산,4,10.832128168665335,239.5,350.75,61.9206034475,13.433189655,4.7065517240000005,2.62597701125,4
울산,5,11.825678437438352,257.0,424.5,63.897580645,18.1483870975,4.9862903227499995,3.15322580675,4
울산,6,10.809612227775405,321.0,392.5,75.60249999999999,22.239166665,6.17583333325,4.2241666665,4
울산,7,9.762651785939008,279.5,490.75,81.4862903225,26.162096775000002,6.5048387094999995,6.3741935485,4
울산,8,9.788352919675058,214.0,527.0,80.212903225,26.53870968,5.90806451625,8.66774193575,4
울산,9,8.222695784482653,200.5,625.5,80.5583333325,22.839999997499998,6.5416666665,7.697499999750001,4
울산,10,8.808029019444586,151.75,416.5,69.8911290325,16.81048387,4.7467741935,2.080645161,4
울산,11,8.204631794889625,162.75,245.25,58.9000000025,11.4858333325,3.30416666675,1.62666666675,4
울산,12,8.011337878827677,166.5,195.5,48.21451613,3.91935483875,2.82822580625,1.1282258065,4
