지역,변수,Spearman(원본) 이용률-변수,Spearman(anomaly) 이용률-변수,표본수(원본),표본수(anomaly)
전체,월합계일조(hr),0.1946438684704822,0.845057430769087,96,96
전체,월합계일사(MJ/m²),0.6643311430060197,0.2820923262913591,96,96
전체,평균 습도(%),0.020835594139989148,-0.739880629408573,96,96
전체,평균 기온(°C),0.33785946825827456,0.11338849701573521,96,96
전체,월합계강수량(mm),0.11711283988901958,-0.5576456784001083,96,96
전체,평균 운량(1/10),0.10980737927292458,-0.8086679327183939,96,96
서울,월합계일조(hr),0.5848892748588798,0.9141337386018237,48,48
서울,월합계일사(MJ/m²),0.9347590099869735,0.9227095093356491,48,48
서울,평균 습도(%),-0.20158488927485887,-0.7707338254450716,48,48
서울,평균 기온(°C),0.47177594442032134,0.13167607468519324,48,48
서울,월합계강수량(mm),0.19013759607512404,-0.622303037111418,48,48
서울,평균 운량(1/10),0.2066869300911854,-0.8757056013894919,48,48
울산,월합계일조(hr),0.5263386437740445,0.7814145373287511,48,48
울산,월합계일사(MJ/m²),0.26706232014050285,0.17966121053229286,48,48
울산,평균 습도(%),0.15762049500651323,-0.7130916196265741,48,48
울산,평균 기온(°C),0.4600521059487625,0.09389926183239253,48,48
울산,월합계강수량(mm),0.11550151975683891,-0.4927268779852366,48,48
울산,평균 운량(1/10),0.13059053408597482,-0.7451150673035172,48,48
