지역,연도,월,이용률_anom,월합계일조(hr)_anom,월합계일사(MJ/m²)_anom,평균 습도(%)_anom,평균 기온(°C)_anom,월합계강수량(mm)_anom,평균 운량(1/10)_anom
서울,2021,1,-0.5419273378950802,-7.0,-10.275000000000034,-3.109543010752688,-0.7537970430107526,-3.6000000000000014,0.23723118279569944
울산,2021,1,-0.377529946010732,-5.349999999999994,-118.295,4.697244623655919,-0.6276545698924729,-5.674999999999997,0.4457094310639653
서울,2022,1,0.814662756598242,17.5,14.394999999999982,-5.516801075268816,-0.5560819892473121,-18.2,-0.5786290322580645
울산,2022,1,0.9598600054594364,18.349999999999994,-118.295,-8.879368279569889,-0.055611559139784994,-25.375,0.019054502507028115
서울,2023,1,0.10700594656239915,1.5,3.4750000000000227,2.6041666666666714,0.14566532258064502,25.4,0.105510752688172
울산,2023,1,-0.3476578672519848,6.349999999999994,45.394999999999996,-2.64146505376344,-0.07335349462365537,15.024999999999999,-0.4830540097962497
서울,2024,1,-0.37974136526555924,-12.000000000000028,-7.595000000000027,6.022177419354847,1.1642137096774192,-3.6000000000000014,0.2358870967741935
울산,2024,1,-0.23467219219671875,-19.349999999999966,191.195,6.8235887096774235,0.7566196236559142,16.025,0.018290076225255802
서울,2021,2,0.8934961802445631,7.925000000000011,11.425000000000011,-4.91239480706075,0.7914524322660101,-15.074999999999996,-0.2427391215106729
울산,2021,2,0.7731716687304075,27.75,-147.65,-3.1201765188834187,1.4451508620689655,-12.3,-0.8289694685631552
서울,2022,2,1.643755469566356,30.725000000000023,38.92500000000001,-5.768049568965516,-3.0634582820197043,-16.275,-0.9852986453201971
울산,2022,2,2.5286306868509296,61.75,-147.65,-15.846366995073893,-2.4564860426929394,-38.9,-1.3102738260603193
서울,2023,2,0.8430064616298463,25.125,26.785000000000025,-1.6609067118226548,0.37195838464696207,-21.174999999999997,-0.6847034072249589
울산,2023,2,-0.7995753137925714,-9.449999999999989,195.45000000000002,0.47506157635467616,0.12401990968801258,-13.100000000000001,0.23423576882241015
서울,2024,2,-3.380258111440762,-63.77499999999999,-77.13499999999999,12.341351087848935,1.9000474651067325,52.52499999999999,1.9127411740558289
울산,2024,2,-2.502227041788764,-80.04999999999998,99.85,18.49148193760263,0.8873152709359609,64.30000000000001,1.9050075258010635
서울,2021,3,0.46802050240306414,7.549999999999983,8.72750000000002,4.657716275659823,0.6486567470896656,47.425000000000004,0.265187616635564
울산,2021,3,-0.24536000599402463,-11.150000000000006,-249.0775,8.49764784946236,0.4561491935483879,53.17500000000001,0.6815767707108966
서울,2022,3,-1.1839197672287387,-32.45000000000002,-42.8125,3.8351356304985345,-0.7099454034479695,39.12499999999999,0.9627682617968549
울산,2022,3,-0.040769750022951357,-4.150000000000006,-249.0775,0.23823924731183155,-0.20917338709677225,-30.224999999999994,0.39881807496408506
서울,2023,3,0.779549094778428,34.349999999999994,52.35749999999996,-7.038520283479961,1.4373664245090207,-52.975,-0.877285501644006
울산,2023,3,-0.19255295258034621,15.849999999999994,265.3225,-5.592405913978496,1.3315524193548391,-17.424999999999997,-0.7162726916546953
서울,2024,3,-0.06364982995275348,-9.449999999999989,-18.272499999999923,-1.4543316226783958,-1.3760777681507141,-33.575,-0.3506703767884116
울산,2024,3,0.4786827085973222,-0.5500000000000114,232.83250000000004,-3.1434811827956963,-1.5785282258064512,-5.525000000000006,-0.36412215402028636
서울,2021,4,0.6418377788299665,-3.0250000000000057,0.8524999999999636,-2.0982638888888943,-0.5766319444444417,55.45000000000002,0.1097222222222225
울산,2021,4,0.6402415461822564,13.599999999999994,-263.5375,-0.7829861111111072,-0.5621527777777775,-4.025000000000006,0.18532104775150682
서울,2022,4,2.0874159564393935,34.775000000000034,57.8125,-1.1690972222222271,-0.01538194444444585,-48.25000000000001,-0.6375000000000002
울산,2022,4,0.971738498001331,30.400000000000006,-263.5375,-3.738541666666663,0.3410416666666638,3.075000000000003,-0.5323520321434092
서울,2023,4,-2.0860574231902334,-29.32499999999999,-59.397500000000036,3.468402777777783,-0.9703819444444459,28.25,0.47638888888888875
울산,2023,4,-0.8677888293259954,-2.9000000000000057,291.60249999999996,-2.430208333333333,-0.29812499999999886,-20.224999999999994,-0.5535678411373821
서울,2024,4,-0.6431963120791231,-2.4250000000000114,0.7325000000000728,-0.20104166666666856,1.5623958333333352,-35.45,0.05138888888888893
울산,2024,4,-0.7441912148575955,-41.099999999999994,235.47249999999997,6.951736111111117,0.5192361111111126,21.174999999999997,0.9005988255292845
서울,2021,5,-2.12431899641577,-47.20000000000002,-97.04250000000002,5.807459677419359,-1.4901545698924714,65.27499999999999,0.873991935483871
울산,2021,5,-1.4237729278751186,-33.57499999999999,-319.2525,4.288306451612904,-0.4228158602150529,22.650000000000006,0.8881048387096779
서울,2022,5,2.5266666666666673,51.400000000000006,97.0675,-6.743615591397848,0.5695228494623663,-110.325,-0.819556451612903
울산,2022,5,2.1224721001960596,65.625,-319.2525,-9.578629032258064,1.0507056451612868,-91.65,-1.048723118279569
서울,2023,5,-0.7521953405017889,-15.300000000000011,-19.362499999999955,0.09912634408602372,0.9810819892473148,37.77500000000002,0.525873655913978
울산,2023,5,-2.17929112270426,-52.57499999999999,246.04749999999996,5.288306451612904,-0.3721438172043001,97.44999999999999,0.98622311827957
서울,2024,5,0.3498476702508988,11.099999999999994,19.337499999999977,0.8370295698924721,-0.060450268817206165,7.2749999999999915,-0.580309139784946
울산,2024,5,1.480591950383321,20.525000000000034,392.45750000000004,0.002016129032256231,-0.2557459677419338,-28.450000000000003,-0.825604838709677
서울,2021,6,0.02352672558922464,-14.025000000000006,-9.307500000000005,3.01840277777778,-0.725868055555555,-97.87500000000003,0.13611111111111107
울산,2021,6,-0.61910092000746,-0.32499999999998863,-300.45000000000005,4.727777777777774,-0.593715277777779,-32.92500000000001,0.2815972222222225
서울,2022,6,-2.997706439393939,-67.625,-132.06750000000005,3.4906250000000085,-0.20392361111110802,191.325,1.2680555555555548
