연도,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023,"49,218.96","21,555.67","16,288.85","25,875.67","9,083.24","9,922.14","31,826.13","140,312.05","17,114.65","29,450.80","49,626.73","21,443.45","33,984.87","43,732.04","36,351.80","6,077.86","3,935.49"
2024,"41,373.08","18,619.87","14,374.55","22,857.92","7,924.21","8,778.28","30,841.74","129,450.55","14,893.12","25,648.14","47,676.37","18,112.79","31,778.87","41,136.86","33,267.29","5,509.35","3,710.90"
2025,"43,363.53","18,679.60","14,099.75","22,091.66","7,908.53","8,738.72","25,414.47","121,844.25","13,646.95","22,522.67","41,827.84","18,172.36","28,308.75","35,769.51","30,677.20","5,309.77","3,601.22"
,,,,,,,,,,,,,,,,,
TWh,,,,,,,,,,,,,,,,,
연도,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2021,47.3,21.07,15.44,24.9,8.97,9.75,33.59,133.45,16.81,28.4,48.8,21.49,33.49,43.92,35.73,5.69,4.3
2022,48.79,21.49,16.04,25.51,9.12,10.02,32.92,140.53,17.33,29.41,50.26,21.84,34.67,44.26,36.19,6.05,3.18
2023,49.22,21.56,16.29,25.88,9.08,9.92,31.83,140.31,17.11,29.45,49.63,21.44,33.98,43.73,36.35,6.08,3.94
2024,41.37,18.62,14.37,22.86,7.92,8.78,30.84,129.45,14.89,25.65,47.68,18.11,31.78,41.14,33.27,5.51,3.71
2025,43.36,18.68,14.1,22.09,7.91,8.74,25.41,121.84,13.65,22.52,41.83,18.17,28.31,35.77,30.68,5.31,3.6
,,,,,,,,,,,,,,,,,
