연도,구분,평균,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,누적 설치발전소 개수,누적 설비용량(MW),합계
2022,전남,475186.48,383808.32,430568.79,470361.78,586416.68,660057.62,481483.19,505616.63,448632.81,458349.21,561545.83,404585.24,310811.68,15039,4774,6177424.26
2022,경북,277303.09,228398.82,268103.68,265550.23,343123.21,403137.72,308233.91,286130.09,241589.02,266446.61,280949.29,233145.13,202829.36,13023,3255,3604940.16
2022,경남,149964.97,123700.39,142179.83,150658.56,178698.95,211406.41,156365.28,155602.28,134026.48,137286.88,163119.57,125448.4,121086.56,6763,1757,1949544.56
2022,제주,55492.49,41042.95,46261.11,58581.86,71878.79,75469.9,56670.01,63424.22,64862.51,49443.71,61304.45,46999.94,29970.42,1470,628,721402.36
2022,강원,156491.13,123900.45,152963.24,157144.74,212047.22,232756.74,162953.25,167842.96,134835.4,166621.62,145915.52,125943.43,94968.96,6748,1687,2034384.66
2022,전북,423454.29,331811.66,375634.28,404969.61,546970.84,619502.05,458693.78,447850.7,391145.58,442637.27,482057.64,350787.24,229390.88,23256,4132,5504905.82
2023,서울,4691.09,3690.21,4506.49,5692.65,5151.06,6246.18,5669.51,4635.28,4702.84,4551.33,4952.23,3708.8,2786.44,511,50,60984.11
2023,부산,19990.83,16552.78,16014.02,21194.52,23182.39,22866.53,23670.28,19069.66,22588.61,18078.85,22562.89,18428.64,15680.79,640,275,259880.79
2023,대구,29373.85,23451.51,24021.02,32707.26,33621.53,34241.43,35745.38,28949.92,31789.4,26995.55,32094.46,26700.1,22168.66,1502,405,381860.07
2023,인천,11078.27,8052.58,9992.43,12982.48,11999.0,14293.58,13720.34,11525.65,11947.1,11153.68,11921.03,8541.49,6809.84,682,159,144017.47
2023,광주,25633.71,17596.51,23520.9,31532.22,29135.16,30909.39,32029.03,23177.62,31425.89,26472.62,30095.53,20637.14,11072.52,1463,344,333238.24
2023,대전,4649.01,3513.09,3940.12,5626.49,5323.66,5956.38,6017.75,4430.2,5148.17,4496.11,5009.09,3590.26,2736.82,485,60,60437.15
2023,울산,9581.55,7486.88,7163.67,10157.68,10618.0,10621.83,11541.2,10128.0,10403.66,8384.5,11077.42,9514.81,7880.9,450,148,124560.1
2023,세종,6587.56,4724.81,5795.22,8065.31,7332.54,8818.34,8632.85,6392.34,7375.6,6362.25,6977.6,5175.17,3398.66,403,86,85638.25
2023,경기,138759.28,96125.05,122294.1,163063.01,153173.97,185172.38,173452.59,144538.02,153068.94,138017.89,145965.18,109547.6,80692.65,9795,1923,1803870.66
2023,충북,128561.77,92987.71,109695.12,152983.22,145665.61,166521.27,166349.36,128502.06,143679.02,126539.89,134667.11,104753.26,70397.62,9161,1545,1671303.02
2023,충남,290469.96,221947.58,269002.74,361349.78,328677.05,366976.72,367773.58,280381.99,336211.5,284710.65,319154.63,219586.39,129866.89,16368,3325,3776109.46
2023,전남,531913.74,405338.23,495889.88,650520.7,589473.59,607752.62,618359.26,455614.82,662593.07,547720.3,626403.14,434794.17,288505.13,17770,5616,6914878.65
2023,경북,316933.11,249889.99,260803.1,357925.31,360262.22,381720.54,394881.28,312982.08,337139.31,295268.08,345086.41,277847.11,229391.93,16994,3690,4120130.47
2023,경남,161665.71,137044.81,141396.48,183099.5,182988.76,181122.2,191906.09,143608.11,178204.55,149106.28,181723.12,147691.45,122097.11,8585,1938,2101654.17
2023,제주,54050.18,36945.81,46890.2,64839.46,65217.46,60312.35,58834.26,47042.76,67168.06,59303.45,68017.06,45396.43,28634.9,1572,651,702652.38
2023,강원,168361.36,102653.16,148092.61,204305.78,191988.9,226017.19,215012.93,179363.29,176589.42,164846.45,175622.37,138887.55,96956.61,7994,1835,2188697.62
2023,전북,439932.56,357197.21,405668.02,549045.15,492378.44,533045.02,546764.87,414992.85,514688.12,430508.15,492913.2,341249.49,200740.21,27180,4441,5719123.29
2024,서울,4781.1,3509.14,3197.74,5378.98,5670.49,6656.14,6722.21,4180.46,5454.31,4772.03,4343.28,3688.94,3799.51,519,50,62154.33
2024,부산,23995.55,18499.02,14587.13,25260.62,24536.82,33522.25,27259.18,24544.23,31325.6,25718.5,20290.26,19656.33,22746.67,865,316,311942.16
2024,대구,36956.03,26388.79,20886.93,37830.33,38198.19,51838.29,46929.07,39016.59,47726.8,37680.19,32024.58,30638.51,34314.05,2185,486,480428.35
2024,인천,13591.8,8981.38,8333.58,14608.28,15625.12,18335.9,19734.8,12375.55,16931.48,13795.25,12568.47,10402.18,11409.62,871,183,176693.41
2024,광주,30013.75,18528.84,18614.31,32352.51,32540.77,44142.28,36778.05,29939.4,40162.03,32986.54,27585.95,24610.59,21923.76,1808,394,390178.78
2024,대전,5579.15,3424.95,3311.56,5955.18,6305.81,8111.47,7715.98,5329.12,7072.83,6104.58,4686.77,4654.41,4277.13,576,70,72528.94
2024,울산,12497.07,9154.12,6814.09,13105.6,12928.7,17621.76,15158.35,13884.16,16803.28,12288.96,10033.48,9989.48,12182.87,599,178,162461.92
2024,세종,7276.52,4406.63,4207.11,7830.16,8121.04,10396.46,9851.38,6777.32,9451.5,8017.39,6429.65,6184.08,5645.54,482,96,94594.78
2024,경기,172177.01,106585.17,100112.41,185606.73,199152.49,238659.78,247094.64,160177.87,218613.86,180557.0,157946.0,135637.64,135980.58,12822,2263,2238301.18
2024,충북,145686.55,93311.68,84465.76,158144.86,167929.92,213800.89,200994.19,140387.94,188196.82,153249.65,123617.29,112964.87,111174.71,11084,1750,1893925.13
2024,충남,358275.0,224566.03,222833.51,401582.01,410377.71,502658.73,503159.78,345940.51,449967.0,377528.64,310441.85,295245.92,254998.33,18999,4024,4657575.02
2024,전남,593284.87,432377.35,380340.59,643850.39,633387.19,847199.2,686137.04,573196.59,783924.5,672220.52,531883.41,482133.97,452767.66,21149,6226,7712703.28
2024,경북,361751.61,272295.04,208238.51,386621.92,396125.73,521219.61,471352.84,367368.77,465133.28,358858.89,294780.86,281225.29,317798.53,21529,4208,4702770.88
2024,경남,183677.0,146705.2,117365.83,198303.12,188063.39,259797.01,216889.3,182168.55,236546.39,186415.54,161561.85,146712.57,163595.27,10903,2209,2387801.02
2024,제주,52890.49,38746.98,32141.8,61512.53,56961.42,80395.16,53142.13,55219.85,70264.31,58100.05,45580.24,43078.92,39542.47,1607,662,687576.35
2024,강원,181943.35,121713.1,100075.53,198274.89,223892.55,268657.82,260510.92,171553.67,228847.2,172301.41,156541.36,136185.09,144766.68,9210,2017,2365263.57
2024,전북,464977.51,323572.65,310102.84,522660.16,522821.51,669689.46,591563.44,453668.4,598878.97,504779.37,404102.36,366853.84,311037.14,30360,4727,6044707.65
